City,Remote,Founded,Rating,SalaryMin,SalaryMax,Salary Estimate,Hourly,Junior,Senior,part-time,temp,Rank,Cost of Living Index,Local Purchasing Power Index,City
Burbank,0.04938271604938271,1986.5869565217392,3.8641791044776124,82.94339622641509,126.90566037735849,98.225,0.012345679012345678,0.6,0.9310344827586207,0.0,0.0625,19.0,76.55000000000011,113.78,Burbank
Burlingame,0.0,2004.8333333333333,3.633333333333333,83.57142857142857,123.71428571428571,,0.0,,1.0,0.0,0.0,5.083333333333333,89.64833333333333,135.79416666666668,Burlingame
Burlington,0.0,1992.2,3.7,60.333333333333336,101.66666666666667,56.25,0.2,,1.0,0.0,0.0,11.0,80.86,106.31,Burlington
Burr Ridge,0.0,,,67.0,92.0,,0.0,,,0.0,0.0,11.0,80.18,113.52,Burr Ridge
Calabasas,0.0,1985.4,3.54,98.0,142.5,100.66666666666667,0.0,,1.0,0.0,0.0,19.0,76.55,113.78,Calabasas
Calabasas Hills,0.0,,3.9,,,,0.0,,,0.0,0.0,19.0,76.55,113.78,Calabasas Hills
Camas,0.0,,,,,,0.0,0.0,0.0,0.0,0.0,,,,Camas
Cambridge,0.044444444444444446,1989.659090909091,3.9555555555555557,78.95555555555555,115.35555555555555,,0.0,1.0,1.0,0.0,0.022222222222222223,9.0,82.88000000000008,112.39000000000001,Cambridge
Camden,0.4444444444444444,1967.3333333333333,3.771428571428572,62.75,111.0,64.5,0.0,1.0,1.0,0.0,0.2222222222222222,13.0,78.84000000000002,100.23,Camden
Campbell,0.08333333333333333,1994.2857142857142,3.5888888888888895,91.0,146.0,107.75,0.0,0.5,0.5,0.0,0.0,14.0,78.64,143.48,Campbell
Cape Canaveral,0.25,,4.5,,,,0.0,0.0,0.0,0.0,0.0,49.0,65.7,102.08,Cape Canaveral
Capital Hill,0.0,1989.0,3.5,74.0,123.0,,0.0,,,0.0,0.0,14.0,78.64,143.48,Capital Hill
Carle Place,0.6666666666666666,1955.0,3.266666666666667,81.0,122.5,,0.0,1.0,1.0,0.0,0.0,1.0,100.0,100.0,Carle Place
Carlsbad,0.0,2010.0,3.8333333333333335,78.5,130.5,,0.0,1.0,,0.125,0.0,23.0,74.22000000000001,130.19000000000003,Carlsbad
Carmel,0.25,1993.0,3.1999999999999997,52.75,87.75,,0.0,1.0,1.0,0.25,0.25,47.0,66.34,110.02,Carmel
Carpinteria,0.0,,3.3,,,,0.0,,,0.0,0.0,19.0,76.55,113.78,Carpinteria
Carrollton,0.16666666666666666,1999.6,3.3499999999999996,83.5,120.25,63.75,0.0,,1.0,0.0,0.0,40.0,68.02999999999999,155.29999999999998,Carrollton
Carson,0.0,2005.0,,69.0,102.0,,0.0,,1.0,0.0,0.0,19.0,76.55,113.78000000000002,Carson
Carthage,0.0,1883.0,3.6,111.0,178.0,,0.0,,,0.0,0.0,,,,Carthage
Cary,0.0,1906.0,3.0,105.0,138.0,,0.0,,1.0,0.0,0.0,38.0,69.8,145.3,Cary
